name,company,introduce,num,per,time
基金经理：刘晓,国海富兰克林基金管理有限公司,"
                            ,刘晓,2015-07-2017-02,国海富兰克林基金管理有限公司研究员兼基金经理助理;2009-04-2015-07,国海富兰克林基金管理有限公司研究员;2007-08-2009-04,国海富兰克林基金管理有限公司研究员助理;2007-01-2007-08,国海富兰克林基金管理有限公司风险控制助理。
                        ",1.94,21.67%,"
                            ,241天,
                            ,2017-02-18
                            ,
                            ,
                            ,
                        "
基金经理：易阳方,广发基金管理有限公司,"
                            ,易阳方先生:中国籍,经济学硕士,持有中国证券投资基金业从业证书,1997年1月至2002年11月任职于广发证券股份有限公司,2002年11月至2003年11月先后任广发基金管理有限公司筹建人员、投资管理部人员,2003年12月3日至2007年3月29日任广发聚富混合基金的基金经理,2005年5月13日至2011年1月5日任广发基金管理有限公司投资管理部总经理,2005年12月23日起任广发聚丰混合基金的基金经理,2006年9月4日至2008年4月16日任广发基金管理有限公司总经理助理,2008年4月17日起任广发基金管理有限公司投资总监,2011年8月11日起任广发基金管理有限公司副总经理,2011年9月20日至2013年2月4日任广发制造业精选混合基金的基金经理,2014年3月21日起任广发聚祥灵活混合基金的基金经理,2016年1月22日起任广发鑫享混合基金的基金经理,2016年7月25日起任广发稳裕保本混合基金的基金经理,2016年12月6日起任广发鑫益混合基金的基金经理。
                        ",137.90,496.39%,"
                            ,13年又322天,
                            ,2003-12-03
                            ,
                            ,
                            ,
                        "
基金经理：陈渭泉,中银国际证券有限责任公司,"
                            ,陈渭泉:硕士研究生,2004年8月2006年3月任职于北京玖方量子科技有限公司,任金融工程研究员;2006年3月至2008年9月任职于天相投资顾问有限公司,任宏观与固定收益研究员;2008年10月至2009年12月任职于华泰柏瑞基金管理有限公司,任固定收益研究员;2009年12月至2017年5月任职于长江养老保险股份有限公司,先后担任宏观固收研究员、投资经理助理、投资经理;2017年5月加入中银国际证券有限责任公司。
                        ",3.63,1.29%,"
                            ,75天,
                            ,2017-08-03
                            ,
                            ,
                            ,
                        "
基金经理：王玉玺,中银国际证券有限责任公司,"
                            ,王玉玺:2006年7月至2008年7月任职于中国农业银行资金运营部,担任交易员;2008年8月至2016年6月任职于中国农业银行金融市场部,担任交易员、高级交易员;2016年6月加入中银国际证券有限责任公司,现任基金管理部副总经理、中银国际证券中国红债券宝投资主办人。2017年1月起担任中银证券保本1号混合型证券投资基金、中银证券安进债券型证券投资基金、中银证券瑞益定期开放灵活配置混合型证券投资基金、中银证券瑞享定期开放灵活配置混合型证券投资基金、中银证券安弘债券型证券投资基金基金经理。
                        ",464.70,6.07%,"
                            ,278天,
                            ,2017-01-12
                            ,
                            ,
                            ,
                        "
基金经理：罗众球,中银国际证券有限责任公司,"
                            ,罗众球:中国药科大学药学硕士,通过美国特许金融分析师二级考试(CFAⅡ)。2009年至2010年任职于复星医药药品研发部;2010年至2012年任职于恒泰证券,担任医药行业研究员;2012年至2013年8月任职于宏源证券资产管理分公司,担任医药行业研究员。2013年8月加盟中银国际证券有限责任公司,现任中国红稳定价值、中国红稳健增长、中国红1号集合资产管理计划投资主办人及中银证券保本1号混合型证券投资基金、中银证券健康产业灵活配置混合型证券投资基金、中银证券瑞益定期开放灵活配置混合型证券投资基金、中银证券瑞享定期开放灵活配置混合型证券投资基金基金经理。
                        ",54.83,6.09%,"
                            ,1年又40天,
                            ,2016-09-07
                            ,
                            ,
                            ,
                        "
基金经理：吴亮谷,中银国际证券有限责任公司,"
                            ,吴亮谷:硕士。历任福建海峡银行债券交易员、平安银行债券交易员、投资经理,天治基金管理有限公司天治天得利货币市场基金基金经理、天治稳定收益证券投资基金基金经理。2014年加盟中银国际证券有限责任公司,历任中银国际证券中国红债券宝投资主办人、中银证券保本1号混合型证券投资基金基金经理,现任中银国际证券中国红货币宝投资主办人及中银证券安进债券型证券投资基金、中银证券现金管家货币市场基金、中银证券瑞益定期开放灵活配置混合型证券投资基金、中银证券瑞享定期开放灵活配置混合型证券投资基金基金经理。
                        ",482.10,6.09%,"
                            ,3年又6天,
                            ,2012-06-29
                            ,
                            ,
                            ,
                        "
基金经理：杜飞,国海富兰克林基金管理有限公司,"
                            ,杜飞:经济学硕士,2015.01-2015.07        国海富兰克林基金管理有限公司              研究员兼基金经理助理
2012.07-2015.01        国海富兰克林基金管理有限公司              研究员
2011.07-2012.06        国海富兰克林基金管理有限公司              研究助理。

                        ",1.05,-13.38%,"
                            ,2年又93天,
                            ,2015-07-17
                            ,
                            ,
                            ,
                        "
基金经理：王莉,国海富兰克林基金管理有限公司,"
                            ,王莉:金融学硕士研究生,2016-01至2017-06任国海富兰克林基金管理有限公司基金经理,2011-09至2016-01任国海富兰克林基金管理有限公司债券交易员,2010-06至2011-08任武汉农村商业银行股份有限公司债券交易员。
                        ",73.65,5.48%,"
                            ,1年又269天,
                            ,2016-01-22
                            ,
                            ,
                            ,
                        "
基金经理：吕晓蓉,富荣基金管理有限公司,"
                            ,吕晓蓉:研究生学历、硕士学位,曾任普华永道中天会计师事务所审计师、嘉实基金管理有限公司组合头寸管理、新股、信用债、转债研究员。
                        ",25.49,1.51%,"
                            ,102天,
                            ,2017-07-07
                            ,
                            ,
                            ,
                        "
基金经理：卫学海,国海富兰克林基金管理有限公司,"
                            ,卫学海先生,复旦大学工程硕士。历任中国人保资产管理有限公司高级投资经理,长城证券有限责任公司高级投资经理,光大证券资产管理有限公司投资经理。截至本报告期末任国海富兰克林基金管理有限公司国富深化价值混合基金基金经理和国富成长动力混合基金基金经理。
                        ",0.53,5.90%,"
                            ,2年又300天,
                            ,2014-12-22
                            ,
                            ,
                            ,
                        "
基金经理：王园园,富国基金管理有限公司,"
                            ,王园园,研究生、硕士,2012年6月至2014年11月曾任安信证券股份有限公司研究员;2014年11月至2015年4月任国联安基金管理有限公司研究员;2015年4月起任富国基金管理有限公司行业研究员。
                        ",4.17,9.42%,"
                            ,123天,
                            ,2017-06-16
                            ,
                            ,
                            ,
                        "
基金经理：吴西燕,国海富兰克林基金管理有限公司,"
                            ,吴西燕女士:上海财经大学硕士,历任中国建设银行深圳分行会计,国海富兰克林基金管理有限公司研究助理、研究员、高级研究员、国富弹性市值混合基金及国富深化价值混合基金的基金经理助理。截至本报告期末任国海富兰克林基金管理有限公司行业研究主管,国富中国收益混合基金、国富金融地产混合基金、国富新机遇混合基金、国富新增长混合基金及国富新价值混合基金的基金经理,富兰克林国海新活力灵活配置混合型证券投资基金拟任基金经理。
                        ",21.30,37.04%,"
                            ,2年又260天,
                            ,2015-01-31
                            ,
                            ,
                            ,
                        "
基金经理：蔡卡尔,富国基金管理有限公司,"
                            ,蔡卡尔:自2013年8月加入富国基金管理有限公司,历任助理定量研究员、定量研究员,现任公司基金经理。
                        ",4.14,17.25%,"
                            ,284天,
                            ,2017-01-06
                            ,
                            ,
                            ,
                        "
基金经理：杜晓安,中航基金管理有限公司,"
                            ,杜晓安女士:基金经理,1986年7月出生,中国国籍,商业管理硕士,毕业于英国阿斯顿大学商业管理专业。曾供职于民生证券股份有限公司担任固定收益部交易经理、国都证券股份有限公司固定收益部投资经理。2016年9月至今,担任中航基金管理有限公司固定收益部基金经理。
                        ",3.89,2.45%,"
                            ,265天,
                            ,2017-01-25
                            ,
                            ,
                            ,
                        "
基金经理：巩显峰,方正富邦基金管理有限公司,"
                            ,巩显峰:哈尔滨理工大学学士,2000年7月至2002年10月于广东美的集团任高级销售经理;2002年10月至2004年9月于大唐移动股份有限公司任项目经理;2004年9月至2011年3月于西门子企业通信集团任销售总监;2011年3月至2014年3月于新华基金管理有限公司任TMT(通讯、电子)行业研究员;2014年3月至2015年3月于方正富邦基金管理有限公司研究部任TMT(传媒、电子、计算机、通讯)行业研究员;2015年3月至今于方正富邦基金管理有限公司基金投资部任基金经理助理。
                        ",0.39,-5.90%,"
                            ,1年又202天,
                            ,2016-03-29
                            ,
                            ,
                            ,
                        "
基金经理：王健,方正富邦基金管理有限公司,"
                            ,王健先生,本科毕业于内蒙古师范大学教育技术专业,内蒙古工业大学产业经济学硕士研究生。2009年3月至2014年12月于包商银行债券投资部担任执行经理助理;2015年1月至3月于方正富邦基金管理有限公司基金投资部担任拟任基金经理;2015年3月至2016年6月,任方正富邦金小宝货币市场基金基金经理;2016年6月至今于方正富邦基金管理有限公司基金投资部任助理总监职务。
                        ",162.85,21.80%,"
                            ,2年又214天,
                            ,2015-03-18
                            ,
                            ,
                            ,
                        "
基金经理：王晓宁,国海富兰克林基金管理有限公司,"
                            ,王晓宁先生,中央财经大学学士学位。历任万家基金管理有限公司研究员、研究总监助理、基金经理助理,国海富兰克林基金管理有限公司行业研究主管,国富潜力组合股票基金、国富成长动力股票基金和国富策略回报混合基金的基金经理助理。现任国海富兰克林基金管理有限公司研究分析部副总经理,国富策略回报混合基金基金经理,本基金拟任基金经理。
                        ",0.73,64.77%,"
                            ,4年又80天,
                            ,2013-07-30
                            ,
                            ,
                            ,
                        "
基金经理：徐超,方正富邦基金管理有限公司,"
                            ,徐超先生:工学学士,企业管理硕士,2006年7月至2008年11月于中美大都会人寿保险有限公司顾问行销市场部担任高级助理;2008年11月至2012年9月于中诚信国际信用评级有限责任公司金融机构评级部担任总经理助理、高级分析师;2012年9月至2015年6月于泰达宏利基金管理有限公司固定收益部担任高级研究员;2015年6月至今于方正富邦基金管理有限公司基金投资部担任基金经理助理。2015年11月起任基金经理。
                        ",39.96,21.86%,"
                            ,1年又348天,
                            ,2015-11-04
                            ,
                            ,
                            ,
                        "
基金经理：俞晓斌,富国基金管理有限公司,"
                            ,俞晓斌,本科、学士,自2007 年7 月至2012 年10 月任上海国际货币经纪有限公司经纪人;2012 年10 月加入富国基金管理有限公司,任高级交易员兼研究助理。
                        ",15.44,1.37%,"
                            ,291天,
                            ,2016-12-30
                            ,
                            ,
                            ,
                        "
基金经理：徐成,国海富兰克林基金管理有限公司,"
                            ,徐成先生:CFA,朴茨茅斯大学(英国)金融决策分析硕士。历任永丰金证券(亚洲)有限公司上海办事处研究员,新加坡东京海上国际资产管理有限公司上海办事处研究员、高级研究员、首席代表。现任国海富兰克林基金管理有限公司国富亚洲机会股票(QDII)基金及国富大中华精选混合(QDII)基金的基金经理,本基金的拟任基金经理。
                        ",13.20,55.14%,"
                            ,1年又298天,
                            ,2015-12-24
                            ,
                            ,
                            ,
                        "
基金经理：蔡耀华,富国基金管理有限公司,"
                            ,蔡耀华,本科、学士,自2011年7月加入富国基金管理有限公司,历任基金会计助理、基金会计、风控员、基金经理助理。
                        ",5.61,6.87%,"
                            ,305天,
                            ,2016-12-16
                            ,
                            ,
                            ,
                        "
基金经理：陈连权,富国基金管理有限公司,"
                            ,陈连权,硕士。曾任交银施罗德基金管理有限公司数量分析师、信用分析师/宏观债券分析师、专户投资部专户副总经理兼投资经理;2015年5月加入富国基金管理有限公司,历任固定收益研究部总经理、固定收益专户投资部总经理、富国资产管理(上海)有限公司投资部总经理,2016年5月起任富国泰利定期开放债券型发起式证券投资基金基金经理,2016年6月起任富国祥利定期开放债券型发起式证券投资基金兼固定收益投资总监。具有基金从业资格。
                        ",37.36,6.49%,"
                            ,1年又146天,
                            ,2016-05-24
                            ,
                            ,
                            ,
                        "
基金经理：沈毅,方正富邦基金管理有限公司,"
                            ,沈毅先生,本科毕业于清华大学国民经济管理专业,硕士毕业于美国卡内基梅隆大学计算金融专业和美国加州圣克莱尔大学列维商学院工商管理(MBA)专业。1993年8月加入中国人民银行深圳分行外汇经纪中心、总行国际司国际业务资金处,历任交易员、投资经理职务;2002年6月加入嘉实基金管理有限公司投资部,任投资经理职务;2004年4月加入光大保德信基金管理有限公司投资部,历任高级投资经理兼资产配置经理、货币基金基金经理、投资副总监、代理投资总监职务;2007年11月加入长江养老保险股份有限公司投资部,任部门总经理职务;2008年1月加入泰达宏利基金管理有限公司固定收益部,任部门总经理职务;2012年10月加入方正富邦基金管理有限公司,任基金投资部总监兼研究部总监职务;2014年1月,任基金经理。
                        ",4.82,78.84%,"
                            ,10年又59天,
                            ,2006-01-05
                            ,
                            ,
                            ,
                        "
基金经理：张啸伟,富国基金管理有限公司,"
                            ,张啸伟,硕士。自2009年7月至2010年4月在湘财证券任基础化工研究员;自2010年4月至2011年6月在招商证券任化工研究员;自2011年6月至2015年8月在富国基金管理有限公司任行业研究员;2015年8月起任富国改革动力混合型证券投资基金基金经理;2015年11月起任富国天合稳健优选混合型证券投资基金基金经理。
                        ",85.80,33.08%,"
                            ,2年又61天,
                            ,2015-08-18
                            ,
                            ,
                            ,
                        "
基金经理：范磊,富国基金管理有限公司,"
                            ,范磊:自2009年7月至2010年9月在深圳发展银行总行担任资金高级专员、2010年9月至2012年6月在安信证券股份有限公司担任交易员;2012年6月加入富国基金管理有限公司,历任债券研究员、固定收益投资经理,2016年8月至今任固定收益基金经理。
                        ",65.15,2.52%,"
                            ,1年又59天,
                            ,2016-08-19
                            ,
                            ,
                            ,
                        "
基金经理：杨栋,富国基金管理有限公司,"
                            ,杨栋,硕士。自2011年5月至2015年8月任富国基金管理有限公司助理行业研究员、行业研究员;自2015年8月起任富国天合稳健优选混合型证券投资基金基金经理。
                        ",27.31,33.80%,"
                            ,2年又61天,
                            ,2015-08-18
                            ,
                            ,
                            ,
                        "
基金经理：林庆,富国基金管理有限公司,"
                            ,林庆先生:复旦大学经济学博士、计算机硕士。自2009年10月至2010年10月在好望角投资管理有限公司从事行业研究工作;自2011年2月加入富国基金管理有限公司,任研究员。具有5年证券投资管理经历,具备基金从业资格。

                        ",20.50,-4.70%,"
                            ,2年又165天,
                            ,2015-05-06
                            ,
                            ,
                            ,
                        "
基金经理：王颀亮,富国基金管理有限公司,"
                            ,王颀亮女士:硕士,中国国籍,已取得基金从业资格。曾任上海国利货币经纪有限公司经纪人,自2010年9月至2013年7月在富国基金管理有限公司任交易员;2013年7月至2014年8月在富国基金管理有限公司任高级交易员兼研究助理;2014年8月至2015年2月任富国7天理财宝债券型证券投资基金基金经理;2015年4月至2016年1月任富国恒利分级债券型证券投资基金基金经理;2014年8月起任富国收益宝货币市场基金基金经理,2015年4月起任富国目标齐利一年期纯债债券型证券投资基金、富国富钱包货币市场基金基金、富国天时货币市场基金基金经理,2015年11月起任富国收益宝交易型货币市场基金基金经理,2015年12月起任富国目标收益一年期纯债债券型证券投资基金、富国目标收益两年期纯债债券型证券投资基金基金经理;2016年2月起任富国纯债债券型发起式证券投资基金基金经理。
                        ",291.74,10.94%,"
                            ,3年又53天,
                            ,2014-08-26
                            ,
                            ,
                            ,
                        "
基金经理：牛志冬,富国基金管理有限公司,"
                            ,牛志冬:过往从业经历 自2007年7月至2010年8月任华夏基金管理有限公司研究员;自2010年8月至2012年4月任富国基金管理有限公司基金经理助理;自2012年4月至2015年3月任富国基金管理有限公司投资经理,现任量化投资部定量基金经理兼量化投资副总监。
                        ",61.92,10.69%,"
                            ,2年又158天,
                            ,2015-05-13
                            ,
                            ,
                            ,
                        "
基金经理：汪孟海,富国基金管理有限公司,"
                            ,汪孟海:博士,自2010年6月至2014年8月在中国人保资产管理股份有限公司任银行/外汇业务部研究员;2014年8月至今在富国基金管理有限公司任QDII基金经理助理。
                        ",29.60,40.37%,"
                            ,2年又9天,
                            ,2015-10-09
                            ,
                            ,
                            ,
                        "
基金经理：方旻,富国基金管理有限公司,"
                            ,方旻先生,硕士,自2010年2月至2014年4月任富国基金管理有限公司定量研究员;2014年4月至2014年11月任富国中证红利指数增强型证券投资基金、富国沪深300增强证券投资基金、富国中证500指数增强型证券投资基金(LOF)基金经理助理,2014年11月起任富国中证红利指数增强型证券投资基金、富国沪深300增强证券投资基金、上证综指交易型开放式指数证券投资基金和富国中证500指数增强型证券投资基金(LOF)基金经理,2015年5月起任富国创业板指数分级证券投资基金、富国中证全指证券公司指数分级证券投资基金及富国中证银行指数分级证券投资基金的基金经理,2015年10月起任富国上证综指交易型开放式指数证券投资基金联接基金的基金经理;兼任量化投资副总监。具有基金从业资格。
                        ",170.30,93.79%,"
                            ,2年又333天,
                            ,2014-11-19
                            ,
                            ,
                            ,
                        "
基金经理：于鹏,富国基金管理有限公司,"
                            ,于鹏先生:博士研究生。自2007年3月至2010年8月在HSBCBANKPLC(汇丰银行)任固定收益证券策略分析师;自2011年8月至2012年2月在中国国际金融(香港)有限公司任高级固定收益证券策略分析师;自2012年2月至2012年12月在MillenniumCapitalPartnersLLP任固定收益策略分析师;自2013年4月加入富国基金管理有限公司,2013年4月至2015年10月任投资经理,2015年11月起任富国绝对收益多策略定期开放混合型发起式证券投资基金基金经理。具有基金从业资格。
                        ",1.54,4.18%,"
                            ,1年又326天,
                            ,2015-11-26
                            ,
                            ,
                            ,
                        "
基金经理：李元博,富国基金管理有限公司,"
                            ,李元博,硕士,自2009年9月至2010年12月在湘财证券有限责任公司任研究员;自2010年12月至2011年9月在天治基金管理有限公司任研究员;自2011年9月至2015年7月在汇丰晋信基金管理有限公司任研究员、基金经理;2015年7月加入富国基金管理有限公司,2015年11月起任富国高新技术产业混合型证券投资基金基金经理。具有基金从业资格。
                        ",5.76,116.16%,"
                            ,2年又363天,
                            ,2014-06-21
                            ,
                            ,
                            ,
                        "
基金经理：曹晋,富国基金管理有限公司,"
                            ,曹晋先生,硕士,证券从业年限5年。曾任职于毕马威会计事务所、汇丰晋信基金管理有限公司;2014年6月加入富国基金管理有限公司,2014年10月至2015年10月任富国天源平衡混合型证券投资基金基金经理,2015年1月起任富国中小盘精选混合型证券投资基金基金经理,2015年10月起任富国天源沪港深平衡混合型证券投资基金基金经理。具有基金从业资格。
                        ",14.25,81.29%,"
                            ,4年又57天,
                            ,2013-04-20
                            ,
                            ,
                            ,
                        "
基金经理：许炎,富国基金管理有限公司,"
                            ,许炎:中国国籍,研究生、硕士自2013年3月至2015年6月在兴业证券股份有限公司任研究员;2015年6月至2016年8月任富国基金管理有限公司行业研究员。
                        ",30.89,20.42%,"
                            ,1年又54天,
                            ,2016-08-24
                            ,
                            ,
                            ,
                        "
基金经理：袁宜,富国基金管理有限公司,"
                            ,袁宜先生:博士。曾任申银万国证券研究所有限公司宏观分析师、高级宏观分析师、高级策略分析师、首席策略分析师;2011年3月加入富国基金管理有限公司,任首席经济学家兼基金经理助理;2012年10月至2014年4月29日任汉盛证券投资基金的基金经理,2013年4月起任富国宏观策略灵活配置混合型证券投资基金的基金经理,2014年4月30日起任富国天盛灵活配置混合型证券投资基金的基金经理;兼任权益投资副总监。具有基金从业资格。
                        ",8.15,84.00%,"
                            ,5年又6天,
                            ,2012-10-12
                            ,
                            ,
                            ,
                        "
基金经理：汪鸣,富国基金管理有限公司,"
                            ,汪鸣先生:硕士研究生,具有基金从业资格。自2007年4月至2014年1月历任富国基金管理有限公司助理行业研究员、行业研究员、高级行业研究员。2014年1月起任富国城镇发展股票型证券投资基金基金经理;2015年4月起任富国天合稳健优选混合型证券投资基金基金经理;2015年5月起任富国改革动力混合型证券投资基金基金经理。
                        ",113.31,143.09%,"
                            ,3年又263天,
                            ,2014-01-28
                            ,
                            ,
                            ,
                        "
基金经理：王海军,富国基金管理有限公司,"
                            ,王海军:硕士研究生,2007年起开始从事证券工作。曾任中国建银投资证券有限公司高级分析师;2010年3月至2012年6月任富国基金管理有限公司高级行业研究员,2012年6月至2015年11月任富国高新技术产业混合型证券投资基金基金经理,2015年5月起任富国国家安全主题混合型证券投资基金基金经理。具有基金从业资格。
                        ",17.64,162.40%,"
                            ,5年又113天,
                            ,2012-06-27
                            ,
                            ,
                            ,
                        "
基金经理：武磊,富国基金管理有限公司,"
                            ,武磊:2011年7月至2012年3月任华泰联合证券有限责任公司研究员;2012年4月至2013年7月任华泰证券股份有限公司投资经理;2013年8月至2014年10月任国泰君安证券股份有限公司资本市场部董事;2014年11月至2016年12月任上海国泰君安证券资产管理有限公司投资经理;2016年12月加入富国基金管理有限公司。
                        ",107.85,2.42%,"
                            ,229天,
                            ,2017-03-02
                            ,
                            ,
                            ,
                        "
基金经理：李羿,富国基金管理有限公司,"
                            ,李羿:2009年4月至2010年6月任上海浦东发展银行交易员;2010年6月至2013年7月任交银康联人寿保险有限公司高级投资经理;2013年7月至2016年6月任汇丰晋信基金管理有限公司投资经理、 基金经理;2016年6月起加入富国基金管理有限公司,2016年11月起任固定收益基金经理。
                        ",41.15,27.61%,"
                            ,3年又148天,
                            ,2013-12-21
                            ,
                            ,
                            ,
                        "
基金经理：戴益强,富国基金管理有限公司,"
                            ,戴益强先生,硕士研究生,曾任易方达基金管理有限公司任行业研究员;自2008年9月至2012年10月任富国基金管理有限公司行业研究员; 自2012年10月至2014c 年1月任汉盛证券投资基金基金经理;2013年8月起任富国医疗保健行业混合型证券投资基金基金经理,2014年1月至2014年12月任汉兴证券投资基金基金经理;2014年12月起任富国消费主题混合型证券投资基金基金经理。
                        ",12.32,76.50%,"
                            ,5年又6天,
                            ,2012-10-12
                            ,
                            ,
                            ,
                        "
